,repository,lines_of_code,cyclomatic_complexity,tlag,deps_depth
402,https://github.com/less/less.js,29914,13526,517,11.0
403,https://github.com/chimurai/http-proxy-middleware,766,337,517,10.0
404,https://github.com/karma-runner/karma,16606,9535,308,9.0
405,https://github.com/stringparser/runtime,1101,582,1290,5.0
406,https://github.com/jscs-dev/node-jscs,57142,22032,1252,9.0
407,https://github.com/axios/axios,7502,3498,419,10.0
408,https://github.com/expressjs/cors,1207,675,625,9.0
409,https://github.com/webpack-contrib/url-loader,529,192,482,9.0
410,https://github.com/jasmine/jasmine-npm,2260,1235,57,11.0
411,https://github.com/gruntjs/grunt-cli,122,65,1136,10.0
412,https://github.com/hughsk/vinyl-source-stream,88,57,1859,7.0
413,https://github.com/rollup/rollup-plugin-commonjs,2549,1410,476,9.0
414,https://github.com/rvagg/through2,497,339,855,9.0
415,https://github.com/domenic/chai-as-promised,1928,743,1183,5.0
416,https://github.com/kimmobrunfeldt/concurrently,2220,1236,672,12.0
417,https://github.com/gruntjs/grunt-contrib-nodeunit,556,339,1332,9.0
418,https://github.com/bcaudan/jasmine-spec-reporter,110,44,347,8.0
419,https://github.com/cheeriojs/cheerio,7606,4208,392,6.0
420,https://github.com/nodeca/js-yaml,11015,7059,707,6.0
421,https://github.com/then/promise,1766,811,1239,8.0
422,https://github.com/webpack/webpack-dev-middleware,2708,1150,386,10.0
423,https://github.com/socketio/socket.io,6112,3229,678,9.0
424,https://github.com/sindresorhus/object-assign,290,135,1407,11.0
425,https://github.com/standard/eslint-config-standard,31,24,360,7.0
426,https://github.com/typings/typings,76,19,978,7.0
427,https://github.com/request/request-promise,520,313,902,11.0
428,https://github.com/tapjs/node-tap,16588,8630,479,8.0
429,https://github.com/expressjs/morgan,1999,885,570,7.0
430,https://github.com/liady/webpack-node-externals,595,280,961,12.0
431,https://github.com/vuejs/vue-router,14451,6281,306,10.0
432,https://github.com/BrowserSync/browser-sync,44670,18559,624,9.0
433,https://github.com/ivogabe/gulp-typescript,2348,1249,557,11.0
434,https://github.com/SBoudrias/gulp-istanbul,727,403,686,11.0
435,https://github.com/commitizen/cz-conventional-changelog,146,74,256,11.0
436,https://github.com/TrySound/rollup-plugin-uglify,183,89,886,10.0
437,https://github.com/webpack-contrib/extract-text-webpack-plugin,1319,497,717,11.0
438,https://github.com/rollup/rollup-plugin-node-resolve,1335,509,456,9.0
439,https://github.com/maxogden/concat-stream,396,256,786,6.0
440,https://github.com/sindresorhus/load-grunt-tasks,55,35,1491,11.0
441,https://github.com/postcss/postcss-import,1173,479,313,11.0
442,https://github.com/adametry/gulp-eslint,2109,1015,673,11.0
443,https://github.com/floatdrop/gulp-watch,733,429,1305,10.0
444,https://github.com/mlex/karma-spec-reporter,672,345,1140,6.0
445,https://github.com/xojs/xo,2152,1073,361,10.0
446,https://github.com/react-component/rc-tools,5340,2492,319,9.0
447,https://github.com/douglasduteil/isparta,1224,533,1359,11.0
448,https://github.com/floatdrop/gulp-plumber,522,291,1582,11.0
449,https://github.com/jantimon/html-webpack-plugin,8365,3729,310,12.0
450,https://github.com/johnagan/clean-webpack-plugin,492,196,602,10.0
451,https://github.com/benmosher/eslint-plugin-import,16456,5058,321,9.0
452,https://github.com/arcanis/pnp-webpack-plugin,209,95,147,12.0
453,https://github.com/gruntjs/grunt,4463,2493,775,11.0
454,https://github.com/yeoman/generator,4732,2049,540,9.0
